Year,Month,Day,Open,High,Low,Close,Volume,Adjusted,Rolling_Mean,Standard_dev,upper,lower,indicator
2010,10,18,600.55,619.69,600.55,617.71,7098200,617.71,537.591,26.2935471171,563.8845471171,511.2974528829,3.0470974359
2010,10,15,599.27,601.64,591.6,601.45,14824800,601.45,532.1195,19.1627326024,551.2822326024,512.9567673976,3.6179860899
2010,10,14,544.18,545.25,537.11,540.93,6634100,540.93,526.5545,13.2035328107,539.7580328107,513.3509671893,1.0887616372
2010,10,13,547,547.49,542.33,543.3,3055600,543.3,523.561,16.2159862319,539.7769862319,507.3450137681,1.2172555969
2010,10,12,540.12,545.99,537.79,541.39,3753600,541.39,520.428,18.1404989196,538.5684989196,502.2875010804,1.1555360243
2010,10,11,538.48,544.6,537.17,538.84,2626300,538.84,517.38,19.5031776088,536.8831776088,497.8768223912,1.1003335164
2010,10,8,532.77,537.6,527.62,536.35,2859200,536.35,514.5515,20.3123984111,534.8638984111,494.2391015889,1.0731622903
2010,10,7,536.21,537.2,529.14,530.01,2395800,530.01,511.541,21.3471107129,532.8881107129,490.1938892871,0.8651756319
2010,10,6,539.26,539.95,529.94,534.35,2762300,534.35,508.8495,22.2695171585,531.1190171585,486.5799828415,1.1450854466
2010,10,5,528.38,540,526.55,538.23,3507100,538.23,505.661,22.9801344186,528.6411344186,482.6808655814,1.417267602
2010,10,4,524.95,528.25,518.85,522.35,1940500,522.35,501.9695,23.3990911823,525.3685911823,478.5704088177,0.8709953665
2010,10,1,530,530.62,523,525.62,2225000,525.62,499.367,23.9021736735,523.2691736735,475.4648263266,1.0983519892
2010,9,30,529.16,531.87,518.92,525.79,3244100,525.79,496.245,24.3659658022,520.6109658022,471.8790341978,1.2125519768
2010,9,29,527.85,532.94,524.71,527.69,2172200,527.69,492.972,24.5839433264,517.5559433264,468.3880566736,1.4122225853
2010,9,28,533.48,533.59,518.45,527.17,3654700,527.17,489.0885,24.9430281948,514.0315281948,464.1454718052,1.5267392436
2010,9,27,528.85,536.85,528.85,530.41,3107400,530.41,485.3645,24.5144695135,509.8789695135,460.8500304865,1.8375066193
2010,9,24,521.74,527.83,518.26,527.29,3356900,527.29,481.7855,22.753857851,504.539357851,459.031642149,1.9998586744
2010,9,23,514.61,519.69,511.3,513.48,2317400,513.48,477.97,21.0565421763,499.0265421763,456.9134578237,1.6864117433
2010,9,22,512.86,517.78,511.68,516,2537100,516,475.027,19.9145791874,494.9415791874,455.1124208126,2.0574373987
2010,9,21,509.68,519.98,508.91,513.46,4466300,513.46,471.7965,18.0735591331,489.8700591331,453.7229408669,2.305218341
2010,9,20,492.5,510.41,492.06,508.28,4403500,508.28,469.327,15.2320648979,484.5590648979,454.0949351021,2.5573026547
2010,9,17,483.75,491.2,481.18,490.15,5641600,490.15,467.014,12.2202525601,479.2342525601,454.7937474399,1.8932505598
2010,9,16,479.95,482.45,479.41,481.06,1969500,481.06,465.905,10.9506036844,476.8556036844,454.9543963156,1.3839419667
